사용위치,가게이름,가게카테고리,주소,전화번호,대표메뉴
달서구청,편대장영화식당,한식,대구 달서구 월배로 232 지하 1층,053-258-2040,한우육회 (140g): 1900 한우육회비빔밥: 15000 한우소고기 비빔밥: 10500
달서구청,시인과바다민물장어,장어,"대구 달서구 와룡로 126 2, 3층",053-586-0555,장인장어 (1인분): 39000 인삼장어 (1인분): 43000 허브장어 (1인분): 43000
달서구청,진쭈꾸미랑면사랑,해물,대구 달서구 구마로 118,053-524-0808,쭈꾸미볶음 or 벌교꼬막무침 + 사골들깨칼국수: 11000 쭈꾸미볶음 or 벌교꼬막무침 + 시원한묵사발: 11000 쭈꾸미볶음 or 벌교꼬막무침 + 옹심이들깨칼국수: 12000
달서구청,강남찜고을,해물,대구 달서구 구마로40길 49,053-625-6647,메뉴정보 알수없음
달서구청,제형면옥 막뚱이네,냉면,대구 달서구 월배로 213,053-639-0076,평양 만두전골 (2인): 24000 평양냉면: 10000 평양비빔냉면:10000
달서구청,다경찜한정식,한정식,대구 달서구 달구벌대로 1732-9,053-653-6411,메뉴정보 없음
달서구청,투인샤브,샤브샤브,대구 달서구 상원로 192 2층,없음,샤브샤브+편백나무찜(1인): 17000 
달서구청,홍대개미,퓨전일식,대구 달서구 조암로 6 2층,053-633-3533,스테이크 덮밥: 9900 연어장 덮밥: 12900 대창 덮밥: 10900
달서구청,솥밥명가,한식,대구 달서구 학산로7길 63,없음,시래기솥밥(1인): 13000 곤드레솥밥(1인): 13000 
달서구청,낙지이야기,해물,대구 달서구 구마로 105,053-521-2088,산낙지전골 (소): 36000 산낙지연포탕 (소): 36000 산낙지회 (소): 36000
