사용위치,가게이름,가게카테고리,주소,전화번호,대표메뉴
달성군,밀양돼지국밥,국밥,대구 달서구 월배로14길,053-633-9882,돼지국밥:8000원 순대국밥:8000원 내장국밥:8000원,
달성군,곤지곤지,비빔밥,대구 달성군 가창면 퇴계길 43-8,053-766-2112,강된장자연보리밥:8000원 고등어구이:5000원 아침에만든두부:8000원,
달성군,신재균의진짜순대,순댓국,대구 달서구 상인서로 19,053-641-0300,순대전골(2인분):24000원 순대전골(3인분):36000원 순대전골(4인분):48000원,
달성군,교동면옥 현풍점,냉면,대구 달성군 현풍읍 비슬로 594,053-611-5222,육전 물냉면:9000원 육전 물비빔면:10000원 육전 물비빔면:10000원 옛날 불고기 2+1:26000원,
달성군,냄비집소머리국밥,국밥,대구 달성군 논공읍 비슬로 1556,0507-1303-6802,소머리곰탕:12000원 갈비선지해장국:12000원 사골우거지탕:10000원 :꼬리곰탕:20000원,
달성군,동해칼치곤드레,한식,대구 달성군 논공읍 금강로 53,알수없음,곤드레돌솥밥:8000원 생선구이(소):5000원 생선구이(대):10000원,
달성군,뜨돈,돈가스,대구 달서구 진천로9길 30,0507-1305-1379,홀그레인 샐러드 돈가스:13900원 뜨돈 돈가스:11900원 뜨돈 치킨가스:12900원 뜨돈치즈가스:13900원,
달성군,벚꽃나들버섯집,한식,대구 달성군 옥포읍 옥포로 8,053-616-6655,숫총각버섯탕:12000원 버섯 전골 (大):45000원 버섯전골 (小):35000원,
달성군,부림해물손수제비,한식,대구 달성군 논공읍 비슬로 1816 1층부림해물손수제비,0507-1314-8695,칼국수(해물칼국수):8000원 칼국수(얼큰(매운)칼국수):8000원 칼국수(들깨(고소한)칼국수):8500원,
달성군,일송정,한식,대구 달성군 옥포읍 명곡로 587,053-611-2580,능계탕:18000원 능이버섯 토종닭백숙:70000원 능이버섯 오리백숙:70000원
