사용위치,가게이름,가게카테고리,주소,전화번호,대표메뉴
동구청,스시센슈,일식당,대구 동구 효동로6길 46 2층,053-981-6908,런치 : 17000 디너 : 22000 고급어종초밥 : 25000
동구청,고향손국수식당,국수,대구 동구 팔공로26길 13,053-985-1050,손칼국수 : 5500 곱빼기 : 7500
동구청,오구왕소금구이신암점,소금구이,대구 동구 아양로39길 11 1층 오구왕소금구이,053-952-1663,스테이크 목살 : 11500 삼겹살 : 11500 항정살 :13000
동구청,어울림만두전골,칼국수 만두,동구 신암남로 165,053-957-0045,만두전골 : 11000 매운맛 만두전골 : 12000 비빔만두 : 8000
동구청,대청봉,사철 영양탕,대구 동구 아양로 206-1,0507-1457-6540,염소탕 : 13000 보신탕 : 13000 삼계탕 : 13000
동구청,황금돼지오리구이,육류 고기요리,대구 동구 국채보상로159길 57-1,053-428-5152,오리로스 1마리 : 40000 오리로스 반마리 : 28000 오리불고기 1마리 : 45000
동구청,소통(효동로2길 13-5),소고기구이,대구 동구 효동로2길 13-5 1층 소통,053-939-9595,한우 안창살 : 39000 한우 특갈비살 : 35000 한우 등심 스테이크 : 21000
동구청,성동식당,한식,대구 동구 동북로79길 39,053-955-7143,소곱창전골 : 30000 삼겹살 : 5400 소등심 : 8000
동구청,성가네식당,한식,대구 동구 아양로37길 39,053-958-6882,콩나물해장국 : 8000 청국장순두부 : 8000 소구레 국밥 : 8000
동구청,본가안동국시,국수,대구 동구 율하동로10길 23,053-965-3302,안동국시 : 9000 냉콩국시 : 9500 한우국밥 : 9500
