사용위치,가게이름,가게카테고리,주소,전화번호,대표메뉴
중구,화림보쌈족발,보쌈,대구 중구 명덕로35길 111,053-255-1877,보쌈(小):26000원  보쌈(中):39000원  보쌈(大):52000원,
중구,호키네유부,초밥 롤,대구 중구 국채보상로140길 19,053-422-5777,유부 초밥 박스 (장국포함)(6p):7500원  유부 초밥 박스 (장국포함)(10p):12500원  호키네 우동:8000원,
중구,하누,소고기구이,대구 중구 국채보상로142길 33-3,0507-1482-8000,한우육회(200g):27000원  한우육회비빕밥:12000원  소된장찌개:8000원,
중구,젠소바,우동 소바,대구 중구 달구벌대로443길 48 1층,053-248-2510,에비(새우)가츠동:10000원  특히레반반카츠:11000원  등심 반반카츠:10000원,
중구,자갈치회타운,한식,대구 중구 동덕로36길 15,053-421-6574,모듬회(소):45000원  모듬회(중):55000원  모듬회(대):65000원  참가자미(소):55000원,
중구,이츠모스시,초밥 롤,대구 중구 큰장로22길 58-8 스카이빌1층,0507-1324-7006,이츠모 A(샐러드.하프우동)(11p):15000원  연어초밥(샐러드.하프우동)(10p):16000원  모둠초밥(샐러드.하프우동포함)(10p):13500원,
중구,요바나시,이자카야,대구 중구 중앙대로81길 33 2층 201호,053-424-5009,수제 꼬치 오마카세 5ps:22000원  생연어사시미:26000원  소고기타다끼:29000원,
중구,대림가든,한식,대구 중구 달성공원로6길 48,053-522-1822,곤드레밥+촌된장  고추장불고기+촌된장  강원도더덕구이+촌된장,
중구,라미아에밀리,카페 디저트,대구 중구 달구벌대로 2061-2,053-256-8282,상하이 파스타:14500원  아라비아따 토마토 파스타:14500원  쉬림프 로제 파스타:14500원,
중구,대구추어탕,추어탕,대구 중구 명덕로35길 105,053-252-6539,추어탕:8000원  장어탕:11000원  민물장어정식:27000원  민물장어구이:25000원,
