사용위치,가게이름,가게카테고리,주소,전화번호,대표메뉴
남구청,화신불고기,고기,대구 남구 봉덕로13길 17-1,053-473-6686,불고기 : 10000 육우갈비살(100g) : 12000 갈비탕: 8000
남구청,할매칼국수,면,대구 남구 명덕로38길 14,053-651-7969,칼국수 : 5000 잔치국수: 5000 비빔국수: 6000
남구청,할매가마솥국밥,국밥,대구 남구 이천로 48,053-475-2375,돼지국밥: 5000 순대국밥: 5000 내장국밥: 5000
남구청,한결같은식당,일식,대구 남구 봉덕남로 63 1층,없음,광년초밥(10p): 15000 우동+초밥(4p): 9500 냉모밀+초밥(4p): 11500
남구청,청라연,한식,대구 남구 두류공원로 62,053-629-0011,모꼬지상: 40000 (계절과 수급에 따라 메뉴 변경)
남구청,육무샤브,샤브샤브,대구 남구 이천로 34,053-621-6090,소고시샤프: 13000 소고기상추샤브: 16000 한우샤브: 19000
남구청,영대횟집,회,대구 남구 대명동 2008-1,없음,모듬회(특대): 70000 (대): 60000 (중): 45000 (소): 33000
남구청,구마적,"육류,고기",대구 남구 이천로 73,053-475-8538,마적이 2인모둠세트(360g) 삽겹살 항정살 목살: 35000 마적이 3인모둠세트(550g) 삽겹살 항정살 목살 돼지찌개: 45000
남구청,모모하나스시,초밥,대구 남구 중앙대로22길 71-2,053-472-0099,모모코스: 50000 하나코스: 70000 스시코스: 30000
남구청,청송영계삼계탕,,"대구 남구 현충로 73 2,3층",053-626-2992,청송영계 삼계탕: 15000 한방 삼계탕: 17000 송이 삼계탕: 20000
