사용위치,가게이름,가게카테고리,주소,전화번호,대표메뉴
북구청,회나무집,매운탕,대구 북구 태전로13길 12-2,053-311-6006,잡어매운탕(소): 28000 피리쪼림: 20000 해물파전: 8000
북구청,황제복어,복어,대구 북구 동천로23길 58,053-321-1998,밀복지리 밀복매운탕(1인): 15000 은복지리 은복매운탕(1인): 11000 참복지리 참복매운탕(1인): 20000
북구청,화로마실,한식,대구 북구 침산남로19길 6,053-357-7706,산더미오리(중): 29000 산더미오리(대): 39000 명태조림(소): 25000
북구청,해조전복,전복,대구 북구 고성북로 51,053-357-3370,전복찜(소): 60000 전복구이(소): 70000 전복회(소): 60000
북구청,하나사쿠,초밥,대구 북구 원대로 117 1층,053-352-1149,특모듬초밥(16000)
북구청,풍천민물장어,장어,대구 북구 대불로 39,053-384-8879,풍천장어(중): 90000
북구청,쿡스시,초밥,대구 북구 고성북로 47-10,053-351-8608,쿡스시모둠 (10ps)+미니우동: 11000 생연어초밥 (10ps)+미니우동: 13000 신선한광어초밥 (10ps)+미니우동:13000
북구청,"진미능이버섯골(북구 노원동)",한식,대구 북구 원대로21길 6,053-353-5178,한우능이버섯전공(1인): 10000 한우능이버섯 생불고기: 11000
북구청,자박갈비,갈비,대구 서구 옥산로 34,053-356-5858,대박세트(한우육회 + 왕새우튀김 + 들기름파스타 + 초대리밥): 13000 촌돼지 김치찌개:9000
북구청,일품돼지국밥,국밥,대구 북구 옥산로 88-1 1층,053-357-1898,돼지국밥: 6000 내장국밥: 7000 섞어국밥: 7000
